AB604_DIST,dem_votes,rep_votes,total_votes,dem_share,rep_share,winner
01,182535.58281122873,150547.4494424333,333083.032253662,0.5480182571179949,0.4519817428820052,DEM
02,231969.75249421084,148400.9776208845,380370.7301150954,0.6098517423357462,0.39014825766425365,DEM
03,189934.67919103013,164637.76234545582,354572.4415364859,0.5356724238578074,0.46432757614219267,DEM
04,189347.85096588166,143687.5465983359,333035.39756421756,0.5685517285872612,0.4314482714127388,DEM
05,118107.78856882673,229040.2557310446,347148.0442998713,0.34022311376411957,0.6597768862358805,REP
06,171008.05159515014,151904.20067039784,322912.252265548,0.529580560648783,0.470419439351217,DEM
07,189329.52424115714,144662.87036381254,333992.39460496965,0.5668677709415723,0.43313222905842785,DEM
08,206137.8911824282,95612.90795235882,301750.799134787,0.6831395037676433,0.31686049623235674,DEM
09,150450.19821921963,107207.51204201886,257657.7102612385,0.5839149857641697,0.4160850142358303,DEM
10,241492.41424605114,122289.2250507138,363781.6392967649,0.6638389301694444,0.33616106983055566,DEM
11,274822.82502775005,64325.94400156104,339148.7690293111,0.8103311883287372,0.1896688116712629,DEM
12,282993.92984203575,6.927677589920001,283000.8575196257,0.9999755206480622,2.4479351937792545e-5,DEM
13,106097.21210359735,93398.80597786665,199496.018081464,0.5318262144975379,0.46817378550246225,DEM
14,182755.0452055879,88548.39673483875,271303.44194042665,0.6736186017342073,0.32638139826579265,DEM
15,211545.34833832603,77838.49216090569,289383.8404992317,0.7310199075849492,0.2689800924150509,DEM
16,303562.72172600665,1222.4136395964902,304785.13536560314,0.995989260965335,0.004010739034665031,DEM
17,173840.25224802102,81195.14076820864,255035.39301622967,0.6816318715299188,0.3183681284700811,DEM
18,148694.99648084264,81003.31327171299,229698.30975255562,0.6473491104093257,0.35265088959067425,DEM
19,252387.70092143008,111788.28995251458,364175.99087394465,0.6930377269400805,0.3069622730599196,DEM
20,18143.375082995717,266916.8497701088,285060.22485310456,0.0636475155113108,0.9363524844886891,REP
21,95926.54024599704,98000.37899180733,193926.91923780437,0.49465304055269593,0.505346959447304,REP
22,79245.67731253571,85058.77433336661,164304.45164590233,0.48230998319705026,0.5176900168029497,REP
23,104128.04131590888,162504.1498807477,266632.19119665655,0.39053064391279174,0.6094693560872083,REP
24,214218.198131336,127630.5322316572,341848.7303629932,0.6266461715504038,0.3733538284495961,DEM
25,151325.4989153071,113437.631031999,264763.1299473061,0.5715504985358963,0.42844950146410365,DEM
26,189810.90430183534,141055.73424488603,330866.63854672137,0.5736779783406066,0.42632202165939337,DEM
27,155379.9629136332,128505.81126987176,283885.774183505,0.5473326846353173,0.45266731536468274,DEM
28,200209.7385535039,110832.22014274646,311041.95869625034,0.6436743756138051,0.356325624386195,DEM
29,147599.29730075708,66378.88064131617,213978.17794207326,0.6897866816153289,0.31021331838467103,DEM
30,213421.67387928654,101066.36163454676,314488.0355138333,0.6786320933659138,0.3213679066340862,DEM
31,156575.84529041962,118184.88100100232,274760.7262914219,0.5698625396860728,0.43013746031392724,DEM
32,207699.65990008673,126246.02967541496,333945.6895755017,0.6219564030429803,0.3780435969570196,DEM
33,139520.13572728596,98229.93715854855,237750.0728858345,0.5868353015996016,0.41316469840039843,DEM
34,189289.1051906476,24.545487317910005,189313.6506779655,0.9998703448629827,1.296551370173693e-4,DEM
35,140039.98401190023,110457.02812218397,250497.0121340842,0.5590485204547696,0.44095147954523045,DEM
36,245999.29175450924,111946.99628061669,357946.28803512594,0.6872519704139769,0.31274802958602305,DEM
37,160391.46522742737,15.499824734,160406.96505216137,0.999903371872107,9.662812789307338e-5,DEM
38,137693.88025603865,108221.24177856404,245915.12203460268,0.5599244126055158,0.4400755873944842,DEM
39,129199.11478281784,98935.75415798686,228134.86894080468,0.5663277840107019,0.43367221598929806,DEM
40,160147.77644203577,211998.44043991927,372146.21688195504,0.43033562932290864,0.5696643706770914,REP
41,172524.51489892157,120962.5359269,293487.0508258216,0.5878437035414937,0.4121562964585062,DEM
42,189314.70894171327,149080.02906683707,338394.73800855037,0.559449328484918,0.4405506715150819,DEM
43,160076.1084514942,53152.23854905532,213228.34700054952,0.7507262083267083,0.24927379167329164,DEM
44,147262.03181853137,53783.86014336137,201045.89196189275,0.7324796860134012,0.2675203139865988,DEM
45,152843.24410056893,138564.36683744428,291407.6109380132,0.5244998358436184,0.4755001641563817,DEM
46,135823.98110381153,84760.63251428907,220584.6136181006,0.6157454904763411,0.38425450952365897,DEM
47,184945.0641659924,164007.46885882068,348952.53302481305,0.5300006352234774,0.46999936477652265,DEM
48,163694.16761076901,155137.6165614385,318831.7841722075,0.5134185979474194,0.4865814020525806,DEM
49,206514.72716722707,173227.4314903743,379742.15865760134,0.5438288124164621,0.456171187583538,DEM
50,209472.24085983017,151468.6704816651,360940.91134149523,0.5803505069051129,0.4196494930948872,DEM
51,201457.99469995295,141837.35627137907,343295.35097133205,0.5868357789580911,0.41316422104190875,DEM
52,168463.28260839268,94894.6821187151,263357.9647271078,0.6396741514271451,0.36032584857285493,DEM
NA,0,0,0,NA,NA,REP
